GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetoAlura,br.com.alura.ProjetoAlura.user,UserController,12,56,1,3,3,13,1,5,0,4
ProjetoAlura,br.com.alura.ProjetoAlura.user,Role,0,15,0,0,0,3,0,1,0,1
ProjetoAlura,br.com.alura.ProjetoAlura.user,NewStudentUserDTO,0,35,0,0,0,11,0,8,0,8
ProjetoAlura,br.com.alura.ProjetoAlura.user,User,3,37,0,0,1,12,1,6,1,6
ProjetoAlura,br.com.alura.ProjetoAlura.user,NewInstructorUserDTO,0,35,0,0,0,11,0,8,0,8
ProjetoAlura,br.com.alura.ProjetoAlura.user,UserListItemDTO,0,24,0,0,0,8,0,4,0,4
ProjetoAlura,br.com.alura.ProjetoAlura,ProjetoAluraApplication,5,3,0,0,2,1,1,1,1,1
ProjetoAlura,br.com.alura.ProjetoAlura,HomeController,2,3,0,0,1,1,1,1,1,1
ProjetoAlura,br.com.alura.ProjetoAlura.course,CourseStatus,0,15,0,0,0,3,0,1,0,1
ProjetoAlura,br.com.alura.ProjetoAlura.course,CourseDTO,6,39,0,0,2,12,2,8,2,8
ProjetoAlura,br.com.alura.ProjetoAlura.course,CourseController,0,128,1,15,0,31,1,10,0,3
ProjetoAlura,br.com.alura.ProjetoAlura.course,NewCourseDTO,0,31,0,0,0,13,0,9,0,9
ProjetoAlura,br.com.alura.ProjetoAlura.course,Course,12,54,0,0,6,21,3,11,3,11
ProjetoAlura,br.com.alura.ProjetoAlura.registration,RegistrationController,0,151,0,10,0,34,0,8,0,3
ProjetoAlura,br.com.alura.ProjetoAlura.registration,RegistrationReportItem,0,33,0,0,0,12,0,6,0,6
ProjetoAlura,br.com.alura.ProjetoAlura.registration,RegistrationDTO,0,28,0,0,0,8,0,6,0,6
ProjetoAlura,br.com.alura.ProjetoAlura.registration,Registration,4,18,0,0,2,7,1,3,1,3
ProjetoAlura,br.com.alura.ProjetoAlura.util,EncryptUtil,9,48,0,4,3,8,1,3,1,1
ProjetoAlura,br.com.alura.ProjetoAlura.util,ErrorItemDTO,2,42,2,2,0,12,2,4,0,4
ProjetoAlura,br.com.alura.ProjetoAlura.util,ValidationExceptionHandler,0,15,0,0,0,3,0,2,0,2
